df_paper_title,df_paper_URL,df_paper_Author,df_Author_URL
A Comparison of Physical Activity Between Home-Based and Centre-Based Pulmonary Rehabilitation: A Randomised Controlled Secondary Analysis,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-physical-activity-between-home-based-and-centre-b,"Horton, E.",https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton
A Comparison of Physical Activity Between Home-Based and Centre-Based Pulmonary Rehabilitation: A Randomised Controlled Secondary Analysis,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-physical-activity-between-home-based-and-centre-b,"Sewell, L.",https://pureportal.coventry.ac.uk/en/persons/louise-sewall
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Thake, C. D.",https://pureportal.coventry.ac.uk/en/persons/doug-thake
Actual and perceived motor competence mediate the relationship between physical fitness and technical skill performance in young soccer players,https://pureportal.coventry.ac.uk/en/publications/actual-and-perceived-motor-competence-mediate-the-relationship-be,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
"Acute Hormonal Response to Kettlebell Swing Exercise Differs Depending on Load, Even When Total Work Is Normalized",https://pureportal.coventry.ac.uk/en/publications/acute-hormonal-response-to-kettlebell-swing-exercise-differs-depe,"Renshaw, D.",https://pureportal.coventry.ac.uk/en/persons/derek-renshaw
"Acute Hormonal Response to Kettlebell Swing Exercise Differs Depending on Load, Even When Total Work Is Normalized",https://pureportal.coventry.ac.uk/en/publications/acute-hormonal-response-to-kettlebell-swing-exercise-differs-depe,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
An adaptation of the ‘Escape Rooms’ methodology in online learning to facilitate and investigate active learner-led activities and experiences,https://pureportal.coventry.ac.uk/en/publications/an-adaptation-of-the-escape-rooms-methodology-in-online-learning-,"Arnab, S.",https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab
An adaptation of the ‘Escape Rooms’ methodology in online learning to facilitate and investigate active learner-led activities and experiences,https://pureportal.coventry.ac.uk/en/publications/an-adaptation-of-the-escape-rooms-methodology-in-online-learning-,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
An adaptation of the ‘Escape Rooms’ methodology in online learning to facilitate and investigate active learner-led activities and experiences,https://pureportal.coventry.ac.uk/en/publications/an-adaptation-of-the-escape-rooms-methodology-in-online-learning-,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
An adaptation of the ‘Escape Rooms’ methodology in online learning to facilitate and investigate active learner-led activities and experiences,https://pureportal.coventry.ac.uk/en/publications/an-adaptation-of-the-escape-rooms-methodology-in-online-learning-,"Mahon, D.",https://pureportal.coventry.ac.uk/en/persons/dominic-mahon
Are spontaneously fermented plant-based foods potential sources of transferable antibiotic resistance genes?,https://pureportal.coventry.ac.uk/en/publications/are-spontaneously-fermented-plant-based-foods-potential-sources-o,"Amund, D.",https://pureportal.coventry.ac.uk/en/persons/daniel-amund
Associations Between Self-Reported Sleep Duration and Mortality in Employed Individuals: Systematic Review and Meta-Analysis,https://pureportal.coventry.ac.uk/en/publications/associations-between-self-reported-sleep-duration-all-cause-and-c,"Roden, L. C.",https://pureportal.coventry.ac.uk/en/persons/laura-roden
Blood cancer care in a resource limited setting during the Covid-19 outbreak; a single center experience from Sri Lanka,https://pureportal.coventry.ac.uk/en/publications/blood-cancer-care-in-a-resource-limited-setting-during-the-covid-,"Lin, T. T.",https://pureportal.coventry.ac.uk/en/persons/thet-thet-lin
British Soccer Academy Personnel Perceive Psychological and Technical/Tactical Attributes as the Most Important Contributors to Development,https://pureportal.coventry.ac.uk/en/publications/british-soccer-academy-personnel-perceive-psychological-and-techn,"Kite, R. J.",https://pureportal.coventry.ac.uk/en/persons/richard-james-kite
British Soccer Academy Personnel Perceive Psychological and Technical/Tactical Attributes as the Most Important Contributors to Development,https://pureportal.coventry.ac.uk/en/publications/british-soccer-academy-personnel-perceive-psychological-and-techn,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
British Soccer Academy Personnel Perceive Psychological and Technical/Tactical Attributes as the Most Important Contributors to Development,https://pureportal.coventry.ac.uk/en/publications/british-soccer-academy-personnel-perceive-psychological-and-techn,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris
